gender,race/ethnicity,parental level of education,test preparation course,lunch,math score,reading score,writing score
female,group A,associate's degree,completed,standard,60.0,67.5,68.0
female,group A,associate's degree,none,free/reduced,47.666666666666664,64.33333333333333,60.0
female,group A,associate's degree,none,standard,82.0,93.0,93.0
female,group A,bachelor's degree,none,standard,51.666666666666664,60.0,61.666666666666664
female,group A,high school,completed,free/reduced,54.666666666666664,62.0,62.0
female,group A,high school,completed,standard,71.5,81.0,77.5
female,group A,high school,none,standard,58.0,70.5,68.0
female,group A,master's degree,none,free/reduced,50.0,67.0,73.0
female,group A,master's degree,none,standard,50.0,53.0,58.0
female,group A,some college,completed,standard,75.0,83.0,86.5
female,group A,some college,none,free/reduced,55.0,62.5,56.0
female,group A,some college,none,standard,59.25,68.75,70.0
female,group A,some high school,completed,standard,78.66666666666667,91.66666666666667,89.66666666666667
female,group A,some high school,none,free/reduced,46.4,56.8,53.0
female,group A,some high school,none,standard,59.5,74.5,71.0
female,group B,associate's degree,completed,free/reduced,72.0,85.5,83.5
female,group B,associate's degree,completed,standard,71.2,79.8,81.8
female,group B,associate's degree,none,free/reduced,51.6,68.6,65.4
female,group B,associate's degree,none,standard,62.09090909090909,67.9090909090909,67.81818181818181
female,group B,bachelor's degree,completed,standard,65.5,77.5,81.0
female,group B,bachelor's degree,none,free/reduced,76.66666666666667,83.0,81.66666666666667
female,group B,bachelor's degree,none,standard,70.66666666666667,79.33333333333333,78.66666666666667
female,group B,high school,completed,free/reduced,55.8,68.2,67.2
female,group B,high school,completed,standard,68.0,77.75,77.25
female,group B,high school,none,free/reduced,48.5,63.833333333333336,59.5
female,group B,high school,none,standard,62.30769230769231,69.07692307692308,66.84615384615384
female,group B,master's degree,completed,free/reduced,62.333333333333336,81.0,78.0
female,group B,master's degree,none,standard,83.5,92.5,88.5
female,group B,some college,completed,free/reduced,55.333333333333336,65.66666666666667,67.0
female,group B,some college,completed,standard,69.0,79.5,79.0
female,group B,some college,none,free/reduced,59.5,65.75,65.75
female,group B,some college,none,standard,62.5,69.33333333333333,69.5
female,group B,some high school,completed,free/reduced,62.0,74.5,75.75
female,group B,some high school,completed,standard,54.2,66.8,65.6
female,group B,some high school,none,free/reduced,40.75,52.25,47.25
female,group B,some high school,none,standard,61.666666666666664,68.33333333333333,68.44444444444444
female,group C,associate's degree,completed,free/reduced,68.66666666666667,76.0,77.33333333333333
female,group C,associate's degree,completed,standard,67.93333333333334,78.46666666666667,81.33333333333333
female,group C,associate's degree,none,free/reduced,58.833333333333336,70.33333333333333,67.66666666666667
female,group C,associate's degree,none,standard,63.666666666666664,71.28571428571429,69.47619047619048
female,group C,bachelor's degree,completed,free/reduced,57.833333333333336,71.33333333333333,75.33333333333333
female,group C,bachelor's degree,completed,standard,73.0,84.28571428571429,85.14285714285714
female,group C,bachelor's degree,none,free/reduced,53.2,67.6,66.6
female,group C,bachelor's degree,none,standard,73.375,82.0,83.75
female,group C,high school,completed,free/reduced,58.666666666666664,72.0,71.0
female,group C,high school,completed,standard,59.0,69.5,75.5
female,group C,high school,none,free/reduced,43.7,57.3,52.4
female,group C,high school,none,standard,62.53333333333333,70.06666666666666,68.86666666666666
female,group C,master's degree,completed,free/reduced,65.0,81.0,81.0
female,group C,master's degree,completed,standard,68.0,79.66666666666667,79.66666666666667
female,group C,master's degree,none,free/reduced,46.0,61.5,57.5
female,group C,master's degree,none,standard,73.0,78.0,74.0
female,group C,some college,completed,free/reduced,56.2,74.4,73.0
female,group C,some college,completed,standard,73.81818181818181,83.72727272727273,84.81818181818181
female,group C,some college,none,free/reduced,52.333333333333336,62.22222222222222,61.111111111111114
female,group C,some college,none,standard,65.0,71.57894736842105,72.78947368421052
female,group C,some high school,completed,free/reduced,55.8,67.8,68.6
female,group C,some high school,completed,standard,67.875,75.5,76.875
female,group C,some high school,none,free/reduced,43.285714285714285,55.0,51.285714285714285
female,group C,some high school,none,standard,64.125,71.625,71.75
female,group D,associate's degree,completed,free/reduced,65.0,80.4,82.0
female,group D,associate's degree,completed,standard,72.66666666666667,81.66666666666667,84.66666666666667
female,group D,associate's degree,none,free/reduced,46.42857142857143,57.142857142857146,58.0
female,group D,associate's degree,none,standard,72.55555555555556,78.22222222222223,76.66666666666667
female,group D,bachelor's degree,completed,free/reduced,93.0,100.0,100.0
female,group D,bachelor's degree,completed,standard,69.5,75.5,82.0
female,group D,bachelor's degree,none,free/reduced,61.0,71.0,75.2
female,group D,bachelor's degree,none,standard,74.0,81.6,80.6
female,group D,high school,completed,free/reduced,58.5,59.0,63.5
female,group D,high school,completed,standard,67.5,75.5,79.0
female,group D,high school,none,free/reduced,53.666666666666664,67.0,60.666666666666664
female,group D,high school,none,standard,62.125,68.375,68.0
female,group D,master's degree,completed,free/reduced,64.33333333333333,74.66666666666667,81.66666666666667
female,group D,master's degree,completed,standard,73.5,76.5,82.5
female,group D,master's degree,none,free/reduced,40.0,59.0,54.0
female,group D,master's degree,none,standard,68.77777777777777,76.44444444444444,80.0
female,group D,some college,completed,free/reduced,61.5,74.0,75.83333333333333
female,group D,some college,completed,standard,76.0,82.28571428571429,86.42857142857143
