Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
Solbakkevej 66,55.765961,12.542908,13995000,Villa,239,58556,C,https://www.dingeo.dk/adresse/2820-gentofte/solbakkevej-66/
"Smakkegårdsvej 181, 1. tv",55.761596,12.524727,3095000,Ejerlejlighed,93,33279,D,https://www.dingeo.dk/adresse/2820-gentofte/smakkeg%C3%A5rdsvej-181/1-tv/
Dalparken 12,55.763367,12.551062,10000000,Villa,218,45871,D,https://www.dingeo.dk/adresse/2820-gentofte/dalparken-12/
Parkovsvej 59A,55.753115,12.554764,12900000,Villa,148,87162,B,https://www.dingeo.dk/adresse/2820-gentofte/parkovsvej-59a/
Fuglegårdsvænget 26,55.741476,12.532095,7995000,Villa,156,51250,D,https://www.dingeo.dk/adresse/2820-gentofte/fugleg%C3%A5rdsv%C3%A6nget-26/
Gisselfeld Alle 2,55.741408,12.550067,9895000,Villa,146,67773,C,https://www.dingeo.dk/adresse/2820-gentofte/gisselfeld%20alle-2/
"Brogårdsvej 137, 3. th",55.752007,12.519992,1750000,Ejerlejlighed,47,37234,D,https://www.dingeo.dk/adresse/2820-gentofte/brog%C3%A5rdsvej-137/3-th/
Søager 19,55.74381,12.529096,7400000,Villa,104,71153,D,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8ager-19/
Solsiden 2,55.764763,12.545567,15495000,Villa,210,73785,D,https://www.dingeo.dk/adresse/2820-gentofte/solsiden-2/
"Søgårdsvej 5B, st. tv",55.745711,12.539788,3995000,Ejerlejlighed,82,48719,G,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8g%C3%A5rdsvej-5b/st-tv/
Lyngbyvej 351B,55.7428,12.533537,4600000,Rækkehus,114,40350,D,https://www.dingeo.dk/adresse/2820-gentofte/lyngbyvej-351b/
"Smakkegårdsvej 181, st. th",55.761596,12.524727,2995000,Ejerlejlighed,89,33651,D,https://www.dingeo.dk/adresse/2820-gentofte/smakkeg%C3%A5rdsvej-181/st-th/
"Brogårdsvej 106, 2. tv",55.752606,12.520186,1895000,Ejerlejlighed,61,31065,D,https://www.dingeo.dk/adresse/2820-gentofte/brog%C3%A5rdsvej-106/2-tv/
Mosegårdsvej 143,55.747641,12.501589,4745000,Rækkehus,80,59312,F,https://www.dingeo.dk/adresse/2820-gentofte/moseg%C3%A5rdsvej-143/
Fuglegårdsvej 40B,55.743452,12.52554,8900000,Villa,182,48901,D,https://www.dingeo.dk/adresse/2820-gentofte/fugleg%C3%A5rdsvej-40b/
Vindestræde 4,55.749321,12.540568,5495000,Villa,99,55505,F,https://www.dingeo.dk/adresse/2820-gentofte/vindestr%C3%A6de-4/
"Ericavej 165, 1. 212",55.745784,12.506542,3995000,Ejerlejlighed,123,32479,E,https://www.dingeo.dk/adresse/2820-gentofte/ericavej-165/1-212/
Sauntes Vænge 11,55.759633,12.534064,7495000,Rækkehus,114,65745,C,https://www.dingeo.dk/adresse/2820-gentofte/sauntes%20v%C3%A6nge-11/
Skovmosevej 17,55.76758,12.529453,10500000,Villa,179,58659,D,https://www.dingeo.dk/adresse/2820-gentofte/skovmosevej-17/
Mosegårdsvej 134,55.747921,12.503866,4950000,Rækkehus,80,61875,E,https://www.dingeo.dk/adresse/2820-gentofte/moseg%C3%A5rdsvej-134/
"Jægersborgvej 110, 1. tv",55.763517,12.521791,2995000,Ejerlejlighed,99,30252,E,https://www.dingeo.dk/adresse/2820-gentofte/j%C3%A6gersborgvej-110/1-tv/
Søbredden 36D,55.752012,12.52769,7995000,Rækkehus,130,61500,C,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8bredden-36d/
Sponnecksvej 1,55.749422,12.546368,20000000,Villa,237,84388,G,https://www.dingeo.dk/adresse/2820-gentofte/sponnecksvej-1/
C L Ibsens Vej 25,55.754247,12.537412,9990000,Villa,154,64870,D,https://www.dingeo.dk/adresse/2820-gentofte/c%20l%20ibsens%20vej-25/
Ermelundsvej 61,55.759459,12.536162,6995000,Rækkehus,110,63590,D,https://www.dingeo.dk/adresse/2820-gentofte/ermelundsvej-61/
Plantagevej 20,55.742502,12.532247,4995000,Rækkehus,88,56761,D,https://www.dingeo.dk/adresse/2820-gentofte/plantagevej-20/
Sognegrænsen 30,55.746615,12.506331,5495000,Rækkehus,92,59728,C,https://www.dingeo.dk/adresse/2820-gentofte/sognegr%C3%A6nsen-30/
"Søndersøvej 33A, st. mf",55.758706,12.535668,2195000,Ejerlejlighed,55,39909,C,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8nders%C3%B8vej-33a/st-mf/
"Springbanen 27, st. 4",55.744343,12.555395,3995000,Ejerlejlighed,86,46453,C,https://www.dingeo.dk/adresse/2820-gentofte/springbanen-27/st-4/
"Vangedevej 34, 1.",55.748697,12.520702,3095000,Villalejlighed,95,32578,E,https://www.dingeo.dk/adresse/2820-gentofte/vangedevej-34/1-/
Agertoften 18,55.745904,12.511409,6995000,Villa,129,54224,F,https://www.dingeo.dk/adresse/2820-gentofte/agertoften-18/
"Tværbommen 41, 1. th",55.751548,12.520788,2650000,Ejerlejlighed,67,39552,D,https://www.dingeo.dk/adresse/2820-gentofte/tv%C3%A6rbommen-41/1-th/
"Mosegårdsvej 25, 1. th",55.747869,12.516037,1725000,Ejerlejlighed,55,31363,D,https://www.dingeo.dk/adresse/2820-gentofte/moseg%C3%A5rdsvej-25/1-th/
Solsiden 7,55.765348,12.544717,12495000,Villa,170,73500,D,https://www.dingeo.dk/adresse/2820-gentofte/solsiden-7/
"Ellebækvej 52, st. th",55.740762,12.525785,1450000,Ejerlejlighed,43,33720,D,https://www.dingeo.dk/adresse/2820-gentofte/elleb%C3%A6kvej-52/st-th/
"Lyngbyvej 347A, st. tv",55.741865,12.534559,2495000,Ejerlejlighed,62,40241,F,https://www.dingeo.dk/adresse/2820-gentofte/lyngbyvej-347a/st-tv/
"Adolphsvej 30, st.",55.748043,12.550667,6995000,Ejerlejlighed,133,52593,C,https://www.dingeo.dk/adresse/2820-gentofte/adolphsvej-30/st-/
"Jægersborg Alle 245, 2. tv",55.76202,12.52614,3295000,Ejerlejlighed,111,29684,C,https://www.dingeo.dk/adresse/2820-gentofte/j%C3%A6gersborg%20alle-245/2-tv/
Snogegårdsvej 68,55.749889,12.503324,13995000,Villa,278,50341,A2010,https://www.dingeo.dk/adresse/2820-gentofte/snogeg%C3%A5rdsvej-68/
Plantagevej 10,55.742509,12.53277,5300000,Rækkehus,88,60227,B,https://www.dingeo.dk/adresse/2820-gentofte/plantagevej-10/
"Garderhøjvej 4, 1.",55.766042,12.530726,4995000,Ejerlejlighed,92,54293,D,https://www.dingeo.dk/adresse/2820-gentofte/garderh%C3%B8jvej-4/1-/
"Ellebækvej 50, 1. tv",55.740686,12.525788,1595000,Ejerlejlighed,44,36250,D,https://www.dingeo.dk/adresse/2820-gentofte/elleb%C3%A6kvej-50/1-tv/
"Høeghsmindevej 9, 1.",55.745431,12.555726,5995000,Villalejlighed,130,46115,E,https://www.dingeo.dk/adresse/2820-gentofte/h%C3%B8eghsmindevej-9/1-/
"Tværbommen 35, 1. tv",55.751198,12.520209,2295000,Ejerlejlighed,68,33750,D,https://www.dingeo.dk/adresse/2820-gentofte/tv%C3%A6rbommen-35/1-tv/
Vangede Bygade 52,55.750968,12.517506,4995000,Villa,64,78046,F,https://www.dingeo.dk/adresse/2820-gentofte/vangede%20bygade-52/
"Ericavej 165, 1. 208",55.745784,12.506542,1595000,Ejerlejlighed,50,31900,E,https://www.dingeo.dk/adresse/2820-gentofte/ericavej-165/1-208/
Skovmosevej 30,55.769173,12.528896,8500000,Villa,181,46961,F,https://www.dingeo.dk/adresse/2820-gentofte/skovmosevej-30/
Herredsvej 74,55.751989,12.501878,10295000,Villa,182,56565,D,https://www.dingeo.dk/adresse/2820-gentofte/herredsvej-74/
Skolebakken 19,55.746104,12.526058,9285000,Villa,150,61900,D,https://www.dingeo.dk/adresse/2820-gentofte/skolebakken-19/
Bomporten 46,55.75043,12.523951,4995000,Rækkehus,96,52031,D,https://www.dingeo.dk/adresse/2820-gentofte/bomporten-46/
Schæffergårdsvej 9,55.764001,12.526173,8495000,Villa,113,75176,E,https://www.dingeo.dk/adresse/2820-gentofte/sch%C3%A6fferg%C3%A5rdsvej-9/
"Skjoldagervej 44, 1. tv",55.760813,12.529891,2795000,Ejerlejlighed,72,38819,D,https://www.dingeo.dk/adresse/2820-gentofte/skjoldagervej-44/1-tv/
"Tværbommen 9, st. th",55.750409,12.520686,2295000,Ejerlejlighed,66,34772,D,https://www.dingeo.dk/adresse/2820-gentofte/tv%C3%A6rbommen-9/st-th/
Skolebakken 26,55.746352,12.523522,7995000,Villa,174,45948,E,https://www.dingeo.dk/adresse/2820-gentofte/skolebakken-26/
Høeghsmindevej 49,55.748593,12.55239,10995000,Villa,205,53634,D,https://www.dingeo.dk/adresse/2820-gentofte/h%C3%B8eghsmindevej-49/
Parkovsvej 51A,55.752416,12.553725,9995000,Villa,124,80604,D,https://www.dingeo.dk/adresse/2820-gentofte/parkovsvej-51a/
"Smakkegårdsvej 163, 1. th",55.760969,12.525229,4295000,Ejerlejlighed,101,42524,D,https://www.dingeo.dk/adresse/2820-gentofte/smakkeg%C3%A5rdsvej-163/1-th/
Soløsevej 41,55.766977,12.542877,11995000,Villa,168,71398,E,https://www.dingeo.dk/adresse/2820-gentofte/sol%C3%B8sevej-41/
Tjørnestien 5B,55.754973,12.532543,6495000,Villalejlighed,87,74655,E,https://www.dingeo.dk/adresse/2820-gentofte/tj%C3%B8rnestien-5b/
Kildeskovsvej 4,55.742219,12.548772,11495000,Villa,156,73685,D,https://www.dingeo.dk/adresse/2820-gentofte/kildeskovsvej-4/
"Gentoftegade 33, 2. th",55.747898,12.541167,7495000,Ejerlejlighed,154,48668,C,https://www.dingeo.dk/adresse/2820-gentofte/gentoftegade-33/2-th/
Søgårdsvej 29,55.741973,12.536125,5495000,Villa,123,44674,F,https://www.dingeo.dk/adresse/2820-gentofte/s%C3%B8g%C3%A5rdsvej-29/
Kærvangen 10,55.738854,12.530516,7675000,Villa,107,71728,C,https://www.dingeo.dk/adresse/2820-gentofte/k%C3%A6rvangen-10/
Mosegårdsvej 86,55.748033,12.50951,8495000,Villa,224,37924,C,https://www.dingeo.dk/adresse/2820-gentofte/moseg%C3%A5rdsvej-86/
