Address,X,Y,Price,Type,Size,Squaremeter price,Energy class,Url
"Heimdalsvej 3A, 1.",56.034845,12.591295,1995000,Ejerlejlighed,68,29338,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/heimdalsvej-3a/1-/
Højvænget 8,56.040647,12.600903,14995000,Villa,340,44102,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/h%C3%B8jv%C3%A6nget-8/
Ribevej 4,56.027213,12.594296,5495000,Villa,169,32514,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/ribevej-4/
"Fiolgade 9C, 2.",56.033803,12.608923,3895000,Ejerlejlighed,159,24496,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/fiolgade-9c/2-/
Valnøddevænget 14,56.01953,12.590993,6750000,Villa,161,41925,B,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/valn%C3%B8ddev%C3%A6nget-14/
Nordre Strandvej 72B,56.054158,12.585679,13995000,Ejerlejlighed,260,53826,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/nordre%20strandvej-72b/
"Bjergegade 17, 1.",56.035722,12.611238,4295000,Ejerlejlighed,122,35204,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/bjergegade-17/1-/
Fuglebakkevej 7,56.05396,12.516457,4150000,Villa,140,29642,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/fuglebakkevej-7/
"Snerlevej 46, st. th",56.022123,12.590808,2350000,Ejerlejlighed,97,24226,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/snerlevej-46/st-th/
Hellebækvej 22B,56.044695,12.527302,3795000,Villa,173,21936,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/helleb%C3%A6kvej-22b/
Emil Noldes Vej 29,56.032235,12.565212,4250000,Villa,144,29513,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/emil%20noldes%20vej-29/
"Snerlevej 62, 1. th",56.022066,12.589091,1695000,Ejerlejlighed,70,24214,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/snerlevej-62/1-th/
Gurrevej 117,56.031195,12.581715,3195000,Villa,123,25975,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/gurrevej-117/
Ribevej 11,56.027059,12.594934,2995000,Villa,77,38896,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/ribevej-11/
"Marienlyst Alle 26, st.",56.040587,12.603962,2375000,Villalejlighed,82,28963,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/marienlyst%20alle-26/st-/
"Snerlevej 40, 2. th",56.021967,12.591471,2195000,Ejerlejlighed,97,22628,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/snerlevej-40/2-th/
Nationernes Alle 32,56.047621,12.598596,11950000,Villa,266,44924,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/nationernes%20alle-32/
Hymersvej 15,56.043275,12.583426,6995000,Villa,200,34975,A2015,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/hymersvej-15/
Gurrevej 138,56.030023,12.574419,2495000,Villa,139,17949,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/gurrevej-138/
Eckersbergsvej 8A,56.032848,12.567395,3095000,Villa,113,27389,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/eckersbergsvej-8a/
Brorsonsvej 3,56.035951,12.58622,3999000,Villa,160,24993,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/brorsonsvej-3/
Esrumvej 272,56.047029,12.528487,2750000,Villa,92,29891,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/esrumvej-272/
Nordre Strandvej 59A,56.052329,12.58733,5250000,Villa,146,35958,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/nordre%20strandvej-59a/
"Esrumvej 9A, 1. 12",56.037878,12.601364,1575000,Ejerlejlighed,70,22500,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/esrumvej-9a/1-12/
"Snerlevej 22, 1. 10",56.020436,12.595508,1795000,Ejerlejlighed,67,26791,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/snerlevej-22/1-10/
"Sabroesvej 9D, 1. 2",56.036659,12.601194,970000,Ejerlejlighed,33,492,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/sabroesvej-9d/1-2/
"Murergade 9G, 1. tv",56.033973,12.605602,3495000,Ejerlejlighed,91,38406,B,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/murergade-9g/1-tv/
"Strandgade 39, 3. th",56.03306,12.611082,2150000,Ejerlejlighed,61,35245,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/strandgade-39/3-th/
Nationernes Alle 23,56.04738,12.598184,9985000,Villa,133,75075,G,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/nationernes%20alle-23/
Marstrandsvej 11,56.032652,12.568868,3495000,Villa,124,28185,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/marstrandsvej-11/
Nordre Strandvej 59G,56.052741,12.587696,7500000,Villa,165,45454,B,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/nordre%20strandvej-59g/
Gurrevej 32,56.036833,12.597972,3375000,Villa,103,32766,F,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/gurrevej-32/
Hobrovej 37,56.022301,12.595036,3795000,Villa,100,37950,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/hobrovej-37/
Ørebakken 26,56.039154,12.600243,4495000,Villa,159,28270,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/%C3%B8rebakken-26/
"Sabroesvej 15A, st. tv",56.035492,12.599772,1045000,Ejerlejlighed,55,19000,F,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/sabroesvej-15a/st-tv/
Volmersvej 3,56.021501,12.521114,3995000,Villa,154,25941,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/volmersvej-3/
"Frejasvej 11, st.",56.038466,12.590833,3250000,Ejerlejlighed,129,25193,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/frejasvej-11/st-/
Holger Danskes Vej 18B,56.042593,12.596879,3395000,Villa,149,22785,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/holger%20danskes%20vej-18b/
"Belvederevej 50, st. 3",56.035154,12.596439,1380000,Ejerlejlighed,58,23793,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/belvederevej-50/st-3/
Volmersvej 24B,56.023331,12.52231,3750000,Villa,185,20270,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/volmersvej-24b/
Volmersvej 6A,56.021646,12.521597,2895000,Villa,112,25848,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/volmersvej-6a/
Mariagervej 16,56.021309,12.598254,3795000,Villa,165,23000,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/mariagervej-16/
Snerlevej 6,56.020318,12.598119,3595000,Villa,110,32681,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/snerlevej-6/
Ahorn Alle 2,56.015398,12.589982,5795000,Villa,126,45992,B,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/ahorn%20alle-2/
Mimersvej 3,56.0417616,12.5885015,3650000,Villa,86,42441,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/mimersvej-3/
"Søndre Strandvej 26A, 1.",56.028416,12.604601,7800000,Ejerlejlighed,245,31836,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/s%C3%B8ndre%20strandvej-26a/1-/
"Sabroesvej 6A, 1. tv",56.036409,12.599083,1695000,Ejerlejlighed,87,19482,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/sabroesvej-6a/1-tv/
Nordre Strandvej 72A,56.054121,12.585847,27990000,Villa,529,52911,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/nordre%20strandvej-72a/
Horserød Byvej 7,56.05625,12.495176,13500000,Landejendom,269,50185,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/horser%C3%B8d%20byvej-7/
Rosenkildevej 58A,56.033253,12.596719,2350000,Villa,77,30519,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/rosenkildevej-58a/
"Sabroesvej 17C, st. th",56.035202,12.599464,1175000,Ejerlejlighed,55,21363,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/sabroesvej-17c/st-th/
Unnasvej 13,56.029378,12.588404,4500000,Villa,169,26627,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/unnasvej-13/
Esrumvej 119C,56.040596,12.577447,3695000,Villa,120,30791,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/esrumvej-119c/
"Belvederevej 50, st. 1",56.035154,12.596439,1495000,Ejerlejlighed,60,24916,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/belvederevej-50/st-1/
Mejsevej 6,56.039813,12.575354,2495000,Villa,90,27722,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/mejsevej-6/
"Grønnehavevej 13A, 3. tv",56.040126,12.610299,1495000,Ejerlejlighed,45,33222,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/gr%C3%B8nnehavevej-13a/3-tv/
Rosenkildevej 46,56.033513,12.598753,3495000,Villa,136,25698,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/rosenkildevej-46/
H P Christensens Vej 48,56.024873,12.57976,4500000,Villa,182,24725,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/h%20p%20christensens%20vej-48/
Hasselvej 23,56.019936,12.590165,4295000,Rækkehus,121,35495,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/hasselvej-23/
Kastanievej 8,56.019789,12.589387,3695000,Rækkehus,112,32991,E,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/kastanievej-8/
Viborgvej 11,56.024216,12.594173,3880000,Villa,111,34954,A2015,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/viborgvej-11/
"Belvederevej 50, st. 4",56.035154,12.596439,1595000,Ejerlejlighed,69,23115,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/belvederevej-50/st-4/
"Snerlevej 24, 1. 25",56.020576,12.594915,1515000,Ejerlejlighed,66,22954,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/snerlevej-24/1-25/
Strandgade 3,56.031947,12.609175,4650000,Rækkehus,145,32068,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/strandgade-3/
Esrumvej 110,56.041415,12.583716,3295000,Villa,103,31990,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/esrumvej-110/
"Fiolgade 22C, 1. tv",56.035908,12.607897,2395000,Ejerlejlighed,97,24690,G,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/fiolgade-22c/1-tv/
"Belvederevej 50, 1. 8",56.035154,12.596439,1475000,Ejerlejlighed,57,25877,D,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/belvederevej-50/1-8/
Højvænget 6,56.040454,12.601205,6485000,Villa,150,43233,C,https://www.dingeo.dk/adresse/3000-helsing%C3%B8r/h%C3%B8jv%C3%A6nget-6/
